truth_surface_id,portal_domain,route,component,label,canonical_concept,source_owner,endpoint,calculator_query,filters,denominator,role_scope,lifecycle_semantics,freshness_contract,health_contract,downstream_consumers,state,defect_id,evidence
TS-0001,Admin/Diagnostics,/admin/diagnostics,AdminDiagnostics._version_diag,"Build & Uptime (Build <sha>)",release_identity,deployable_release_provenance,/api/version,canonicalReleaseShaShort(authorized_saved_sha),n/a,n/a,admin,current,runtime,VERIFIED-when-provenance-verified,Build&Uptime cards,PREVIEW_REPAIRED,TD-0001,"footer shows SHA-3DC83374; diagnostic labelled not-the-SHA"
TS-0002,GlobalFooter,*,ForgedOpsAttribution,"Footer SHA-<sha>",release_identity,deployable_release_provenance,/api/version,canonicalReleaseShaShort,n/a,n/a,all,current,runtime,n/a,every page footer,PREVIEW_REPAIRED,TD-0001,"preview verified"
TS-0003,Admin/GovernanceTrust,/admin/governance-trust,AdminGovernanceTrust._version,"Platform Build & Uptime",release_identity,deployable_release_provenance,/api/version,canonicalReleaseShaShort,n/a,n/a,admin,current,runtime,n/a,-,PREVIEW_REPAIRED,TD-0001,"same shared owner"
TS-0004,Admin/PlatformConfig,/admin/platform-configuration,AdminPlatformConfiguration._version,"Build / Version",release_identity,deployable_release_provenance,/api/version,canonicalReleaseShaShort,n/a,n/a,admin,current,runtime,n/a,-,PREVIEW_REPAIRED,TD-0001,"same shared owner"
TS-0005,HR/Equipment,multiple,EmployeeCombo/roster,"Employees count 239",employee_population,HR employee master,/api/hr/employee-roster/public;/api/admin/employees,server-side q,active,239,admin/hr,active-canonical,current,n/a,selectors,RECONCILED,,"prod 239 live; q search full-pop"
TS-0006,Equipment,/admin/equipment,PartsCatalog/EquipmentCombo,"Equipment 604 / parts-eligible",equipment_population,equipment master,/api/public/equipment-master-lookup;/api/admin/equipment-master/status,server-side search,active non-synthetic,604,admin,active-canonical,current,n/a,selectors/parts,RECONCILED,TD-0002,"604=357 eligible+247 unnumbered; 4 malformed+1 fixture"
TS-0007,Jobs,public+authed,JobPicker,"Jobs lookup",job_population,jobs master,/api/public/jobs-lookup;/api/jobs,server-side search + deleted_at filter,not-deleted active,dynamic,all,soft-delete-guarded,current,n/a,pickers,RECONCILED,,"public/authed parity; deleted_at filter live"
TS-0008,Suppliers,multiple,SupplierCombo,"Suppliers",supplier_population,supplier master,/api/suppliers?q=,server-side q,active,dynamic,admin,active-canonical,current,n/a,selectors,RECONCILED,,"server-side q full-pop"
TS-0009,Admin/OpsControl,/admin/operations-control,OperationsControl,"source_status/overall_status MISMATCH",platform_truth_status,occ_health_aggregator(worst-of-cards),/api/admin/occ/health,worst-of child cards,n/a,n/a,admin,current,derived,MISMATCH-vocab,cards,RESOLVED,TD-0003,"LIVE PROD: overall MISMATCH driven by 1 red card=governance (advisory backlog, 0 critical). Repaired _eval_governance SO-10; prod shape now DEGRADED honest. platform/status VERIFIED + trust PASS are separate axes, not contradicted"
TS-0010,Admin/Standards,/admin/governance-trust,GovernanceSummary,"46 high, health=critical STALE",governance_findings_health,enterprise_governance scan,/api/admin/governance/summary,severity+freshness,open findings,357 open,admin,scan-based,STALE(33d),STALE->CRITICAL[suspected-defect],cards,DEFECT_PROVEN,TD-0004,"critical sev=0; stale drives critical label"
TS-0011,Admin/OpsControl,/admin/governance-trust,unified-trust-events,"25 recent / 8 critical (Recent Platform Events)",platform_events,occ_trust_events,/api/admin/occ/trust-events,severity over returned window,last-N returned,window,admin,event-history,current,severity-aggregation,cards,RESOLVED,TD-0005,"LIVE PROD: 8 critical = historical deployment_verification restart audit rows (6 enumerable). Repaired SO-05: deploy audit=info historical + counts over window. POST-FIX critical=0 (no current deploy blockers; deployment-readiness pass)"
TS-0012,Admin/Storage,/admin/storage-recovery,ArchiveLifecycle,"score 73 ownership 15.1",storage_lifecycle_score,r2 lifecycle health,/api/admin/r2/lifecycle/health,ownership over attributable,archived objects,attributable(total-protected),admin,object-lifecycle,inventory-age,score-derivation,cards+OCC,RESOLVED,TD-0006,"ownership_score=100*owned/(total-protected); prod 1639/(10821-4916)=27.8 not 15.1; exempt no longer penalizes; orphan risk 0. POST-FIX preview 53.5"
TS-0013,Admin/Maintenance,/admin/maintenance,MaintenanceOps,"16 ops / 5 attention; Deployment UNKNOWN",maintenance_ops,operations-control overview,/api/admin/operations-control/overview,category+id-prefix grouping,16 ops,admin,op-registry,per-op-status,attention/unknown,cards,RESOLVED,TD-0007,"16 ops enumerated; Deployment UNKNOWN=dead category 'deployment' (deploy ops=health); deployment card now matches deploy.*; governance+queues cards added; all 16 covered once"
